page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
28,140,Kuntje,Indonesia,Family with teens,Superior Room Queen,Stayed 2 nights in December 2020,10.0,Exceptional,Santika the best hotel in Tasik,ke Tasik ya nginep nya di Santika,"January 04, 2021"
29,141,Syifa,Indonesia,Family with teens,Superior King Room,Stayed 1 night in December 2020,7.2,Very good,Very good,"Great location, but others were just ok. Many unclear spots at mirror & window. Air conditioner wasn't cool. I asked operator to fix the AC but the staff didn't come to my room.","December 27, 2020"
29,142,Solichin,Indonesia,Couple,,Stayed 1 night in September 2020,8.0,Excellent,Very Good hotel,Nice food nice hotel,"December 12, 2020"
29,143,rizka,Indonesia,Group,,Stayed 1 night in September 2020,6.0,,Old hotel .. but its ok,The cleanliness so poor .. the bath room so small. Bed room large enough but hair was every where. Tea coffee cup from plastic and foam its not suit for 3 stars hotel,"November 14, 2020"
29,144,Agung,Indonesia,Family with teens,Deluxe Room Queen,Stayed 2 nights in October 2020,10.0,Exceptional,Nice and good hotel,"It is very pleasant to stay at this hotel because everything you and your family want will be obtained, highly recommended for you and ur family...this is second times we stay at here, nice hotel","October 29, 2020"
29,145,irsand,Indonesia,Couple,Superior Room Queen,Stayed 1 night in December 2019,10.0,Exceptional,Exceptional,good facility,"October 25, 2020"
30,146,Hendera,Indonesia,Business traveler,Superior Room Twin,Stayed 1 night in July 2020,9.6,Exceptional,value for money,bersih. murah. ramah. sangat value for money.,"July 19, 2020"
30,147,Iwan,Indonesia,Family with young children,,Stayed 2 nights in July 2020,6.0,,Above average,-,"July 06, 2020"
30,148,ema,Japan,Business traveler,Superior Room Twin,Stayed 1 night in February 2020,10.0,Exceptional,Great for rest,"Tempatnya tenang Dan nyaman, breakfast was great ,feel like want eat all food on table.","March 20, 2020"
30,149,Fenny,Indonesia,Family with teens,Superior Room Queen,Stayed 1 night in February 2020,6.4,Good,SO-SO,"The cleanliness especiallly in the isle in front of the room or in the public space is poor, The breakfast is very standard., we went for breakfast at 09.15am and most of the food is finished, and the staff did not re-arrange the utilities in the dining area (the spoon in the food is so messy)","February 23, 2020"
30,150,Nurdina,Indonesia,Couple,Deluxe Room Twin,Stayed 1 night in February 2020,8.0,Excellent,good location,"The Location of Hotel Santika Tasikmalaya is very good. It is surrounded by many restaurants. And it is also near Masjid Agung Tasikmalaya. The room is quite spacious, however, the AC is not working properly. The room was hot (26C). Foods for breakfast is okay.","February 16, 2020"
31,151,Kuntje,Indonesia,Couple,TWIN SUPERIOR - BED AND BREAKFAST,Stayed 3 nights in June 2019,10.0,Exceptional,Santika Tasik,Good hotel services its ok,"January 14, 2020"
31,152,Utun,Indonesia,Couple,Superior Room Twin,Stayed 1 night in January 2020,9.6,Exceptional,Good,Good,"January 13, 2020"
31,153,Ismalita,Indonesia,Family with young children,Superior Room Queen,Stayed 1 night in December 2019,9.2,Exceptional,GREAT!!!,"I booked this room for my little family. I love the ambience of the Hotel. I cannot review the pool because I just check-in in the middle of night (very late check in). But, I love to breakfast here becasue they serve a Tutut and Cilok Goang. Very unique! The place is very good in the centre of the town. If visit Tasikmalaya someday later, I will to stay here again.","December 23, 2019"
